num,content,ending
1,정부와 반란군의 타협안이 극적으로 체결되었습니다.,True:극적인 균형
2,마녀와 마법사들은 국가의 일원으로서#국민의 의무를 다하며 조화롭게 살아갈 것입니다.,True:극적인 균형
3,국민의 의무를 다하며 # 조화롭게 살아갈 것입니다.,True:극적인 균형
4,정부는 마녀와 마법사들을 보호해야 할 국민으로 인정하고,True:극적인 균형
5,국가의 의무를 다하며 협력할 것입니다.,True:극적인 균형
6,"이 타협을 위해, 두 진영의 극렬화를 막은 한 의인이 있었다는 소문이 돌지만",True:극적인 균형
7,진실은 그 누구도 알지 못합니다.,True:극적인 균형
8,당신은 여전히 물약가게를 운영하며,True:극적인 균형
9,평화로운 나날을 일구어 살아갑니다.,True:극적인 균형
10,당신은 국가보안법 위반으로 체포되었습니다.,Bad1: 반동분자
11,"당신의 재산은 몰수되었고, 가게는 폐쇄되었습니다.",Bad1: 반동분자
12,"정부는 반란군 소탕을 완료하였고, 만일을 위해 해당 지역을 소각조치 처리했습니다.",Bad1: 반동분자
13,"그 덕에 국민들은 평안한 나날을 보내겠지만,",Bad1: 반동분자
14,남겨진 당신의 가족은 어떨까요.,Bad1: 반동분자
15,당신은 반란군에게 정부의 끄나풀로 의심당했습니다.,Bad2: 정부의 끄나풀
16,당신은 반란군에게 납치되어 살해 당합니다.,Bad2: 정부의 끄나풀
17,죽은 뒤에도 반란군에게 용서받지 못 할 것입니다.,Bad2: 정부의 끄나풀
18,"가족은 사라진 당신을 애타게 기다리지만,",Bad2: 정부의 끄나풀
19,그들이 당신의 행방을 알 일은 영영 없을 것입니다.,Bad2: 정부의 끄나풀
20,당신은 빚을 갚지 못했습니다.,Bad3: 빚쟁이
21,사채업자는 당신을 끌고 사라졌습니다.,Bad3: 빚쟁이
22,"당신의 가족은 경찰서에 당신의 실종을 신고했지만,",Bad3: 빚쟁이
23,이 세상에서 사라진 사람을 찾는 일은 불가능할 뿐입니다.,Bad3: 빚쟁이
24,당신은 파산했습니다.,Bad4: 파산
25,"임대료를 내지 못한 당신은 결국 가게에서 쫓겨났고,",Bad4: 파산
26,당신과 당신의 가족은 길거리에 나앉아 구걸하며 살아갑니다.,Bad4: 파산
27,당신은 정부에 충실히 협력했습니다.,good1: 충실한 협력자
28,"반란군은 모두 소탕되었고, 남은 잔당들은 모두 사형되었습니다.",good1: 충실한 협력자
29,"모든 마녀와 마법사들은 의무적으로 군대에 격리될 것이며,",good1: 충실한 협력자
30,국가의 무기이자 전력으로서 모든 의무를 다해야 할 것입니다.,good1: 충실한 협력자
31,정부는 국민의 평화를 위해 협조한 당신에게 1급 공여 훈장을 수여할 것입니다.,good1: 충실한 협력자
32,"훈장을 가진 당신에게는 수도의 대저택이 지급될 것이며,",good1: 충실한 협력자
33,매달 연금이 지급될 것입니다.,good1: 충실한 협력자
34,당신의 헌신에 찬사를 보냅니다!,good1: 충실한 협력자
35,당신은 반란군에 충실히 협력했습니다.,good2: 반란 주도자
36,"정부는 큰 타격을 입었고, 쿠데타를 통해 결국 전복되었습니다.",good2: 반란 주도자
37,"반란군에 의해 세워진 신정부는 마법 가능 여부를 기준으로 시민 등급을 세웠고,",good2: 반란 주도자
38,마녀와 마법사는 최상 등급으로 지배 계급이 되어 군림할 것입니다.,good2: 반란 주도자
39,"당신은 정부의 주요 설립 인원으로, 기준과 관계없는 1등 시민권을 부여받았습니다.",good2: 반란 주도자
40,신정부는 당신에게 주거지와 일꾼으로 쓸 3등 시민 3명의 소유권을 지급했습니다.,good2: 반란 주도자
41,마녀와 마법사의 영원한 영광을 위하여!,good2: 반란 주도자
42,반란군과 정부군의 대립은 극도로 격화됐습니다.,good3: 이중 스파이
43,각종 테러와 소탕작전 등 두 진영의 내전으로 국가는 혼란에 빠졌습니다.,good3: 이중 스파이
44,누군가가 그 사이에서 갈등을 부추겼다는 소문이 돌지만,good3: 이중 스파이
45,진실은 그 누구도 알 수 없습니다.,good3: 이중 스파이
46,당신의 가게는 전쟁으로 인해  다량의 매출 상승을 기록했습니다.,good3: 이중 스파이
